ParticleSize,ImpingementAngle,ImpactVelocity,Materials,Erosion
355-500,15,50,MildSteel,0.10487
355-500,30,50,MildSteel,0.09737
355-500,45,50,MildSteel,0.07756
355-500,60,50,MildSteel,0.07847
355-500,75,50,MildSteel,0.07716
355-500,90,50,MildSteel,0.07696
355-500,15,45,MildSteel,0.09018
355-500,30,45,MildSteel,0.08268
355-500,45,45,MildSteel,0.06287
355-500,60,45,MildSteel,0.06478
355-500,75,45,MildSteel,0.06247
355-500,90,45,MildSteel,0.06227
355-500,15,40,MildSteel,0.07542
355-500,30,40,MildSteel,0.07032
355-500,45,40,MildSteel,0.05571
355-500,60,40,MildSteel,0.05609
355-500,75,40,MildSteel,0.05556
355-500,90,40,MildSteel,0.05498
355-500,15,35,MildSteel,0.07658
355-500,30,35,MildSteel,0.07032
355-500,45,35,MildSteel,0.06427
355-500,60,35,MildSteel,0.06918
355-500,75,35,MildSteel,0.06387
355-500,90,35,MildSteel,0.06367
355-500,15,30,MildSteel,0.06207
355-500,30,30,MildSteel,0.06023
355-500,45,30,MildSteel,0.04701
355-500,60,30,MildSteel,0.04822
355-500,75,30,MildSteel,0.04699
355-500,90,30,MildSteel,0.04687
300-355 ,15,50,Copper,0.13801
300-355 ,30,50,Copper,0.12341
300-355,45,50,Copper,0.11707
300-355,60,50,Copper,0.11835
300-355,75,50,Copper,0.11707
300-355,90,50,Copper,0.12089
300-355,15,45,Copper,0.12108
300-355,30,45,Copper,0.11063
300-355,45,45,Copper,0.08495
300-355,60,45,Copper,0.08812
300-355,75,45,Copper,0.08362
300-355,90,45,Copper,0.08244
300-355,15,40,Copper,0.11151
300-355,30,40,Copper,0.10046
300-355,45,40,Copper,0.09395
300-355,60,40,Copper,0.09699
300-355,75,40,Copper,0.09712
300-355,90,40,Copper,0.09302
300-355,15,35,Copper,0.10066
300-355,30,35,Copper,0.08761
300-355,45,35,Copper,0.0811
300-355,60,35,Copper,0.08714
300-355,75,35,Copper,0.08427
300-355,90,35,Copper,0.08017
300-355,15,30,Copper,0.08881
300-355,30,30,Copper,0.08003
300-355,45,30,Copper,0.07374
300-355,60,30,Copper,0.07666
300-355,75,30,Copper,0.07363
300-355,90,30,Copper,0.07181
300-355,15,50,GunMetal,0.15402
300-355,30,50,GunMetal,0.15522
300-355,45,50,GunMetal,0.13574
300-355,60,50,GunMetal,0.14085
300-355,75,50,GunMetal,0.12897
300-355,90,50,GunMetal,0.122
300-355,15,45,GunMetal,0.14012
300-355,30,45,GunMetal,0.13832
300-355,45,45,GunMetal,0.11884
300-355,60,45,GunMetal,0.12995
