District,Age,Gender,Education,Occupation,Income,PrticipatedPrepPlan,ContributeFund,PreparednessPlan,GrabBag,ExtraMoney,FirstAidHome,SimulationExercise,CompositeScore
3,54,1,2,16,200000,0,0,0,1,0,1,0,2
3,39,1,2,5,84000,0,0,0,0,0,1,0,1
3,25,0,2,2,60000,0,0,0,1,0,1,0,2
3,30,0,2,2,75000,0,0,0,1,0,1,0,2
1,55,0,2,9,300000,0,0,0,0,1,0,1,2
1,47,1,0,4,250000,0,0,1,1,0,0,0,2
1,68,1,0,16,200000,0,0,0,1,1,0,0,2
1,55,1,0,6,120000,0,0,0,0,0,0,0,0
1,40,0,2,9,150000,0,0,0,0,0,0,0,0
1,35,0,2,9,150000,0,0,0,1,0,0,1,2
1,65,1,2,4,350000,0,0,1,1,0,0,1,3
1,70,1,0,16,150000,0,0,0,1,0,0,1,2
1,35,0,2,9,130000,0,0,0,0,0,0,0,0
1,36,0,2,9,120000,0,0,0,1,0,0,0,1
1,28,1,2,6,250000,0,0,0,1,1,0,1,3
1,50,0,2,9,60000,0,0,0,0,0,0,1,1
1,45,1,1,6,180000,0,0,0,0,0,0,1,1
1,45,0,2,9,72000,0,0,0,0,0,0,1,1
