Gender,Constructed,Floor,Member,Dis,Ethinic,education,Head
Male,Tin,Earth,5,0,Bangalee,Primary ,Son
Female,Wooden House (2 story) ,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,1,Bangalee,Primary ,Wife
Male,Tin,Earth,7,0,Bangalee,Primary ,Son
Female,Tin,Earth,5,1,Bangalee,Literate,Wife
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Female,Tin,Earth,3,0,Bangalee,Literate,Wife
Female,Tin,Earth,6,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,Literate,Wife
Female,Tin,Earth,2,0,Bangalee,Literate,Wife
Female,Tin,Earth,3,1,Bangalee,Primary ,Wife
Male,Tin,Concrete,6,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Male,Tin,Earth,6,1,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Concrete,6,0,Bangalee,Literate,Self
Female,Tin,Earth,4,0,Bangalee,Never went to school,Wife
Male,Tin,Concrete,4,0,Bangalee,Master,Son
Male,Tin,Earth,5,0,Bangalee,Never went to school,Self
Female,Tin,Earth,6,0,Bangalee,Never went to school,Wife
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Concrete Building,Concrete,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Literate,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Wooden House (2 story) ,Earth,6,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,1,Bangalee,Never went to school,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Never went to school,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Literate,Self
Male,Tin,Earth,8,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Father
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Father
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,13,0,Bangalee,Primary ,Father
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,2,0,Bangalee,Literate,Self
Female,Tin,Earth,3,0,Bangalee,Literate,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Earth,5,0,Bangalee,School Secondary Certificate,Self
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,School Secondary Certificate,Husband
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Literate,Husband
Female,Wooden House (1 story) ,Earth,6,0,Bangalee,Primary ,Husband
